alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_nom_fr,"Energie, N x facteur Jones, avec fibres  (kJ/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),AG saturés (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Vitamine C (mg/100 g)
"fruits, légumes, légumineuses et oléagineux",légumes,"Carotte, purée cuisinée à la crème, préemballée",185,"89,6","1,44","4,57","1,6","4,39","0,99",3,"5,54","0,53","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Asperge verte, bouillie/cuite à l'eau",112,"92,7","2,69","1,73","0,3","1,3","0,07","2,2",0,"< 0,013","4,73"
"fruits, légumes, légumineuses et oléagineux",légumes,"Aubergine, pulpe et peau, rôtie/cuite au four",143,91,"1,31","3,83","< 0,3","3,4","< 0,01","1,9",0,"< 0,013","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",70,"95,2","0,88","1,43","0,3",1,"0,1","2,5",0,"0,19","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Brocoli, bouilli/cuit à l'eau, croquant","98,1","92,9","2,5","1,23","0,4","0,8","0,1","2,6",0,"0,043","22,7"
"fruits, légumes, légumineuses et oléagineux",légumes,"Brocoli, bouilli/cuit à l'eau, fondant","96,1","93,8","2,19","1,03","0,5","0,6","0,14",3,0,"0,033","18,1"
"fruits, légumes, légumineuses et oléagineux",légumes,"Brocoli, cuit à la vapeur",158,"89,4","4,13","2,53","0,7","1,5","0,25","2,2",0,"0,04","20,7"
"fruits, légumes, légumineuses et oléagineux",légumes,"Carotte, bouillie/cuite à l'eau, croquante",150,"89,2","0,75","6,33","< 0,3","5,9","< 0,01","3,2",0,"0,11","1,71"
"fruits, légumes, légumineuses et oléagineux",légumes,"Carotte, bouillie/cuite à l'eau, fondante",132,"90,1","< 0,5","5,73","< 0,3","5,1","< 0,01","3,3",0,"0,12","0,52"
"fruits, légumes, légumineuses et oléagineux",légumes,"Carotte, cuite à la vapeur",175,"87,7","0,63","7,33","0,3","6,9","0,07","3,7",0,"0,11","1,28"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou blanc, bouilli/cuit à l'eau","98,1","92,9",1,"3,23","< 0,3","2,8","< 0,01","2,7",0,"0,018","13,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou de Bruxelles, bouilli/cuit à l'eau",190,"85,5","3,19","5,4","< 0,3","4,1","< 0,01","4,8",0,"0,023","55,4"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou rouge, cuit à l'étouffée",146,"89,1","1,19","5,7","< 0,3","4,5","< 0,01",3,0,"0,033","26,2"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou vert, bouilli/cuit à l'eau",90,"92,7","1,63","1,83","< 0,3","1,4","< 0,01","3,3",0,"0,013",12
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou-fleur, cuit à la vapeur",127,"91,1","2,56","3,41","0,3","2,4","0,09","1,8",0,"0,013","21,4"
"fruits, légumes, légumineuses et oléagineux",légumes,"Courgette, pulpe et peau, rôtie/cuite au four","96,6","93,1","1,5","3,13","< 0,3","2,7","< 0,01","1,7",0,"< 0,013","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Céleri branche, cuit à l'étouffée",70,"94,3","0,75","2,48","< 0,3","1,7","< 0,01","1,5",0,"0,35","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Céleri rave, bouilli/cuit à l'eau",110,91,"0,94","4,32","0,3","1,2","0,09","2,6",0,"0,093","0,87"
"fruits, légumes, légumineuses et oléagineux",légumes,"Endive, rôtie/cuite au four","99,5","93,7","1,13","4,38","< 0,3","3,2","< 0,01","< 0,5",0,"< 0,013","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Fenouil, cuit à l'étouffée","57,1","95,1","< 0,5","1,94","< 0,3","1,3","< 0,01","1,8",0,"0,028","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Haricot beurre, bouilli/cuit à l'eau",145,"89,6","2,19","4,45","0,3","2,2","0,09","2,7",0,"< 0,013","7,57"
"fruits, légumes, légumineuses et oléagineux",légumes,"Haricot vert, bouilli/cuit à l'eau",117,"90,8","1,75","3,39","< 0,3","2,5","< 0,01","3,2",0,"< 0,013","1,16"
"fruits, légumes, légumineuses et oléagineux",légumes,"Navet, bouilli/cuit à l'eau","88,3","94,2","0,75","3,23","< 0,3","2,8","< 0,01","2,1",0,"0,025","7,25"
"fruits, légumes, légumineuses et oléagineux",légumes,"Oignon blanc ou jaune, sauté/poêlé sans matière grasse",169,"88,1","1,56","6,73","< 0,3",5,"< 0,01","2,8",0,"< 0,013","2,31"
"fruits, légumes, légumineuses et oléagineux",légumes,"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse",115,"91,2","1,13","3,56","0,3","2,8","0,09","3,1",0,"< 0,013","7,38"
"fruits, légumes, légumineuses et oléagineux",légumes,"Oignon rouge, sauté/poêlé sans matière grasse",179,"87,9","1,69","7,55","< 0,3","6,7","< 0,01","2,1",0,"< 0,013","5,68"
"fruits, légumes, légumineuses et oléagineux",légumes,"Panais, cuit à l'étouffée",383,"73,6","1,94","16,6","0,5","6,2","0,13","5,6",0,"0,018","7,92"
"fruits, légumes, légumineuses et oléagineux",légumes,"Petits pois, bouillis/cuits à l'eau",338,"77,4","6,38","9,93","0,6","1,6","0,15","4,8",0,"0,023","11,4"
"fruits, légumes, légumineuses et oléagineux",légumes,"Poireau, bouilli/cuit à l'eau",114,"91,6","2,56","2,23","< 0,3","1,8","< 0,01","3,4",0,"< 0,013","3,79"
"fruits, légumes, légumineuses et oléagineux",légumes,"Poivron jaune, sauté/poêlé sans matière grasse",150,"90,5",1,"5,33","0,6","4,9","0,19","2,2",0,"< 0,013",126
"fruits, légumes, légumineuses et oléagineux",légumes,"Poivron rouge, sauté/poêlé sans matière grasse",151,"89,8","0,94","6,53","< 0,3","6,1","< 0,01",2,0,"< 0,013",144
"fruits, légumes, légumineuses et oléagineux",légumes,"Poivron vert, sauté/poêlé sans matière grasse",120,"92,4","1,25","3,53","0,3","3,1","0,1",3,0,"< 0,013","64,6"
"fruits, légumes, légumineuses et oléagineux",légumes,"Potimarron, pulpe, bouilli/cuit à l'eau",161,"88,9","1,06","6,88","0,3","3,5","0,08","1,8",0,"< 0,013","8,65"
"fruits, légumes, légumineuses et oléagineux",légumes,"Potiron, rôti/cuit au four",127,"90,7","< 0,5","5,66","< 0,3","4,8","< 0,01",2,0,"< 0,013","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Salsifis, bouilli/cuit à l'eau",243,"82,8","2,63","9,29","< 0,3","2,3","< 0,01","4,5",0,"0,02","0,74"
"fruits, légumes, légumineuses et oléagineux",légumes,"Tomate, rôtie/cuite au four",106,"92,6",1,"3,53","0,4","3,1","0,11","1,9",0,"< 0,013","14,9"
"fruits, légumes, légumineuses et oléagineux",légumes,"Échalote, sautée/poêlée sans matière grasse",282,"81,5",2,"12,3","0,4","3,8","0,12","2,9",0,"< 0,013","0,84"
"fruits, légumes, légumineuses et oléagineux",légumes,"Épinard, bouilli/cuit à l'eau",117,"91,9","3,38","< 0,85","0,7",traces,"0,13","3,5",0,"0,03","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Légumes pour couscous, cuits",-,"91,7","1,53","2,55","0,43","1,1","0,048","2,6",0,"1,06",18
"fruits, légumes, légumineuses et oléagineux",légumes,Légume cuit (aliment moyen),183,"88,3","2,11","5,81","0,3","2,48","0,077","2,71","0,0052","0,082","8,84"
"fruits, légumes, légumineuses et oléagineux",légumes,"Crosne, cuit",215,"85,7","2,13","9,11","< 0,5","0,2","< 0,01","1,9",0,"0,013",0
"fruits, légumes, légumineuses et oléagineux",légumes,"Gombo, fruit, cuit",-,"92,6","1,87","2,01","0,21","2,01","0,045","2,5",0,"0,015","16,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Carotte, déshydratée",-,4,"8,1",56,"1,49","38,8","0,26","23,6",0,"0,69","14,6"
"fruits, légumes, légumineuses et oléagineux",légumes,"Oignon, séché",-,"3,93","8,95",75,"0,46","37,4","0,078","9,2",0,"0,053",75
"fruits, légumes, légumineuses et oléagineux",légumes,"Tomate, séchée",-,"14,6","14,2","43,3","2,99","37,6","0,46","12,3",0,"0,62","39,2"
"fruits, légumes, légumineuses et oléagineux",légumes,"Champignon noir, séché",-,0,"7,27",0,"0,075",0,0,0,0,"0,094",0
"fruits, légumes, légumineuses et oléagineux",légumes,"Champignon, lentin comestible ou shiitaké, séché",1330,"9,5","9,58","63,9","0,99","2,21","0,23","11,5",0,"0,033","3,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Tomate, séchée, à l'huile",779,"60,4","4,27","13,4","11,7","6,5","1,32","5,63",0,"2,21",102
"fruits, légumes, légumineuses et oléagineux",légumes,"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"64,1","1,06",0,"0,057",0,0,0,0,0,"6,07"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",-,0,0,"12,3",0,"0,44",0,"8,4",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",-,0,0,"13,9",0,"0,2",0,"8,7",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"63,7","3,25",0,"0,0033",0,0,0,0,0,"19,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"90,4","1,21","5,93","0,033",0,0,"1,9",0,0,"7,4"
"fruits, légumes, légumineuses et oléagineux",légumes,"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"90,7","1,23","4,6","0,023",0,0,3,0,0,"12,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",-,"93,2",0,0,0,0,0,1,0,0,"0,23"
"fruits, légumes, légumineuses et oléagineux",légumes,"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",-,"91,6",0,0,0,0,0,"1,6",0,0,"6,1"
"fruits, légumes, légumineuses et oléagineux",légumes,"Concombre, pulpe avec graines, cru, prélevé à la Martinique",-,"95,8","0,73",0,"0,58",0,0,0,0,0,"0,1"
"fruits, légumes, légumineuses et oléagineux",légumes,"Concombre, pulpe, cru, prélevé à la Martinique",-,"96,8","0,42",0,"0,27",0,0,0,0,0,"0,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Cresson, feuille, cru, prélevé à la Martinique",-,95,"2,25",traces,"0,1",0,0,"2,1",0,0,"2,67"
"fruits, légumes, légumineuses et oléagineux",légumes,"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"65,3","1,15",0,"0,3",0,0,0,0,0,"4,07"
"fruits, légumes, légumineuses et oléagineux",légumes,"Farine de pulpe de patate douce, prélevée à la Martinique",-,"8,55",0,"50,1",0,"0,018",0,"11,3",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"70,5","1,29",0,"0,11",0,0,0,0,0,"8,17"
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",-,"91,8","1,1","4,51","0,097","1,91",0,2,0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",-,0,0,"3,75",0,"1,35",0,"2,4",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique",-,0,0,"2,42",0,"0,82",0,"2,9",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",-,"90,6","1,03","5,62","0,05","1,56",0,2,0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique",-,0,0,"3,51",0,"1,44",0,"1,6",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique",-,0,0,"4,37",0,"1,47",0,"2,4",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",-,"92,3",0,0,0,0,0,"2,8",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Gombo, entier, cuit à la vapeur, prélevé à la Martinique",-,"87,5","1,8","4,69","0,3",0,0,"4,8",0,0,3
"fruits, légumes, légumineuses et oléagineux",légumes,"Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique",-,"88,4","0,24","5,28","0,1",0,0,"5,17",0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"75,4","1,65","17,9","0,3",0,0,"3,9",0,0,"0,87"
"fruits, légumes, légumineuses et oléagineux",légumes,"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"66,6","2,04","27,6","0,37",0,0,"2,67",0,0,"0,81"
"fruits, légumes, légumineuses et oléagineux",légumes,"Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"74,2","2,25","18,4","0,3",0,0,"3,9",0,0,22
"fruits, légumes, légumineuses et oléagineux",légumes,"Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"82,7","1,23",0,"0,18",0,0,0,0,0,"9,57"
"fruits, légumes, légumineuses et oléagineux",légumes,"Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"62,3","0,6",0,0,0,0,0,0,0,"21,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Massissi, pulpe, cru, prélevé à la Martinique",-,"83,8","2,58",0,"0,8",0,0,0,0,0,"73,2"
"fruits, légumes, légumineuses et oléagineux",légumes,"Papaye, pulpe, crue, prélevée à la Martinique",-,"90,4","0,67",0,"0,0033",0,0,0,0,0,"39,3"
"fruits, légumes, légumineuses et oléagineux",légumes,"Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"90,5","0,63",0,0,0,0,0,0,0,"25,7"
"fruits, légumes, légumineuses et oléagineux",légumes,"Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique",-,"63,1",0,"19,3",0,"0,021",0,"4,9",0,0,4
"fruits, légumes, légumineuses et oléagineux",légumes,"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique",-,"63,3","1,48","25,2","0,067","0,19",0,"9,2",0,0,"12,5"
"fruits, légumes, légumineuses et oléagineux",légumes,"Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique",-,"49,1","16,3",0,"0,74",0,0,0,0,0,0
"fruits, légumes, légumineuses et oléagineux",légumes,"Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique",-,"72,1","1,13",0,"0,05",0,0,0,0,0,"9,23"
"fruits, légumes, légumineuses et oléagineux",légumes,"Tomate, entière, crue, prélevée à la Martinique",-,"94,1","1,06",0,"0,06",0,0,0,0,0,"15,2"
"fruits, légumes, légumineuses et oléagineux",légumes,"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)","74,4","94,1","1,69","1,7","< 0,3","0,4","< 0,01","1,3",0,"0,038","9,54"
"fruits, légumes, légumineuses et oléagineux",légumes,"Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule)","93,8","93,4","0,63","3,5","< 0,3","2,8","< 0,01","1,4",0,"0,018","< 0,5"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Tapioca ou Perles du Japon, cru",1500,11,"0,19","87,8","0,02","3,35","0,005","0,9",0,"0,0025",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, sans peau, rôtie/cuite au four",390,"75,4","1,96","20,1","0,1","1,7","0,026","1,5",0,"0,0036","12,8"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, bouillie/cuite à l'eau",341,"78,3","1,8","16,7","0,34","0,86","0,094","1,8",0,"0,052","2,92"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Chips de pommes de terre nature ou aromatisées, standard",2270,"1,4","5,67","51,1","34,3","1,59","3,23","4,57","< 0,7","1,65","8,26"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre nouvelle, bouillie/cuite à l'eau",-,"81,1","1,44",0,"0,3",0,0,"1,6",0,"0,025",15
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, sans peau, crue",341,79,"2,16","16,2","0,18","0,78","0,038","1,8",0,"0,016","18,9"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, appertisée, égouttée",253,"84,3","1,47","11,7","0,34","0,65","0,055","2,2",0,"0,15","5,1"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre noisette, surgelée, crue",760,61,"2,76","24,9","7,22","0,74","1,68","2,82",0,"0,93",8
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre vapeur, sous vide",312,0,"1,7","15,4","0,2","0,4","0,096","1,62",0,"0,24","14,7"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre poêlée, avec matière grasse",574,"69,9","2,5","17,3","5,7","2,2","1,16","2,6",0,"0,51","1,97"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, flocons déshydratés, au lait ou à la crème",1570,"6,21","10,6","69,4","3,97","4,67","1,55",8,2,"0,2","22,3"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",409,"77,8","1,92","10,2","5,18","1,68","1,87","1,47","6,67","0,56","8,63"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, purée, avec lait et beurre, non salée",374,77,"1,89","14,2","2,4","1,41","1,46","1,5","6,5","0,11","6,1"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée",284,"82,8","2,63","12,1","0,53","1,71","0,32","1,8","1,52","0,23","3,2"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre dauphine, surgelée, crue",1190,49,"4,62","25,6","17,7","1,96","3,98","2,34",0,"1,17",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre dauphine, surgelée, cuite",1260,"43,5","4,5","30,2","17,7","3,5","3,39",2,"51,7","1,32",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, flocons déshydratés, nature",1530,"5,09","8,04","76,1","0,46","2,35","0,15","10,3",0,"0,55",59
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre nouvelle, crue",324,"79,9","1,88","15,9","0,3","0,2","0,058","1,3",0,"0,058",22
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",732,"59,9","3,25","25,3","5,8",traces,"0,64","3,4","< 0,7","0,76","1,08"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, rôtie/cuite au four",379,"74,9","2,5","18,5","0,13","1,18","0,035","2,2",0,"0,025","9,6"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite",654,"63,3","2,81",23,"4,8",traces,"0,61",4,0,"0,19","1,25"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau",322,"79,7","1,81","15,7","< 0,5","< 0,2",0,"1,9",0,"< 0,01","3,78"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre primeur, sans peau, bouillie/cuite à l'eau",303,"79,9","1,84","14,9","< 0,1",0,0,"2,13",0,0,"18,9"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Frites de pommes de terre, surgelées, rôties/cuites au four",896,"51,1","3,75","32,6","6,6","0,29","0,75","4,2","< 0,7","0,39","2,38"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Frites de pommes de terre, surgelées, cuites en friteuse",1200,"42,5","3,28","39,4","11,9","0,69","2,94","3,9",0,"0,073",19
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre duchesse, surgelée, cuite",913,"51,5","3,44","29,5","8,5","< 0,4","0,96","4,8","2,87","0,99","< 0,5"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre noisette, surgelée, cuite",804,"56,9","2,81","28,5","6,6","0,2","0,94","3,4","< 0,7","0,87",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,Pomme de terre sautée/poêlée à la graisse de canard,889,0,"2,54","21,9","12,1","1,59","3,17","2,89",0,"0,67",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Chips de pommes de terre nature ou aromatisées, à l'ancienne",2370,"1,4","5,62","49,8","37,6","1,38","3,53","4,51","0,72","1,78","5,07"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse",1940,"1,3","6,58","62,1","19,8","2,49","1,94","5,19","1,01","1,22",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,Rostis ou Galette de pomme de terre,760,"61,4","2,38","22,5","8,3","0,2","1,06","3,3",15,"0,82","< 0,5"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre duchesse, surgelée, crue",745,"65,5","2,8","23,2","7,72","0,73","1,33","2,13",0,"0,93",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue",569,"69,1","2,32","20,9","4,2","0,42","1,14","2,41",0,"0,17",6
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four",648,"67,9","2,41","23,4","5,09","0,35","1,56","2,58",0,"0,28",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes",1070,"49,5","3,5",34,"10,8","0,23","1,74","3,83",0,"0,27",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse",1020,0,"3,12","29,1","12,1","0,48","4,09","3,39",0,"0,12",6
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, purée (aliment moyen)",385,"78,7","2,11","12,7","3,25","1,49","1,71","1,58","4,9","0,35","5,98"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Pomme de terre, cuite (aliment moyen)",393,"76,4","2,01","17,2","1,37","1,05","0,4","1,96",0,"0,12","5,05"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Patate douce, crue",365,"78,8","1,51","18,3","0,15","5,64","0,064","2,87",0,"0,098","2,4"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Patate douce, cuite",265,78,"1,69","12,2","0,15","6,11","0,042","2,9",0,"0,079","16,2"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Patate douce, purée, cuisinée à la crème",334,0,"1,1","12,1",2,"7,5","1,4","4,5",0,"0,56",0
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Topinambour, cuit",346,"80,2","1,8",16,"0,7","9,6",0,"2,2",0,"0,09","3,2"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Topinambour, cru",257,"80,1","1,94","11,5","0,31","9,6","0,11","2,1",0,"0,0088",5
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Banane plantain, cuite",529,"67,3","0,79","28,9","0,18",14,"0,069","2,3",0,"0,013","10,9"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Taro, tubercule, cru",453,"70,6","1,5","22,8","0,2","0,4","0,041","4,1",0,"0,028","4,5"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Taro, tubercule, cuit",555,"63,8","0,52","29,5","0,11","0,49","0,023","5,1",0,"0,038",5
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Igname, épluchée, crue",469,"69,6","1,53","23,8","0,17","0,5","0,037","4,1",0,"0,023","17,1"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Igname, épluchée, bouillie/cuite à l'eau",463,"70,1","1,49","23,6","0,14","0,49","0,029","3,9",0,"0,02","12,1"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Manioc, racine crue",664,"59,7","1,31","36,3","0,29","1,7","0,074","1,8",0,"0,035","20,6"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Manioc, racine cuite",561,"65,2","0,69",32,"0,043",0,0,"0,4",0,0,"13,1"
"fruits, légumes, légumineuses et oléagineux",pommes de terre et autres tubercules,"Fruit à pain, cru",444,"70,7","1,07","22,2","0,23",11,"0,048","4,9",0,"0,005",29
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Haricot coco, bouilli/cuit à l'eau",547,"61,3","9,63","13,7","0,5","1,1","0,11","15,8",0,"0,023","1,62"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Fève, bouillie/cuite à l'eau",350,"77,9","8,06","9,35","0,8","0,4","0,16","3,1",0,"0,025","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Haricot blanc, bouilli/cuit à l'eau",469,"66,9","6,75",12,"1,1","0,3","0,25","13,8",0,"0,023","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Haricot rouge, bouilli/cuit à l'eau",487,65,"9,63","12,3","0,6","0,5","0,19","11,6",0,"0,021","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Lentille, bouillie/cuite à l'eau",-,"69,6","9,02","12,2","0,38","1,8","0,053","7,9",0,"0,005","1,5"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Pois cassé, bouilli/cuit à l'eau",-,"64,9","8,6","16,3","1,49","3,85","0,16","7,95",0,"0,011","0,85"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Pois chiche, bouilli/cuit à l'eau",618,62,"8,31","17,7",3,"0,3","0,46","8,2",0,"0,027","< 0,5"
"fruits, légumes, légumineuses et oléagineux",légumineuses,"Haricot flageolet, appertisé, égouttés",-,72,"6,1","12,2","0,79","0,2","0,11","6,3",0,"0,73",< 1
